gamble_type,gamble_id,outcome_a1,outcome_a2,prob_a1,prob_a2,outcome_b1,outcome_b2,prob_b1,prob_b2,ev_a,ev_b,ev_difference,std_a,std_b,std_difference,skew_a,skew_b,skew_difference,dominated_lottery
representative,1,88,29,0.26,0.74,99,2,0.23,0.77,44.34,24.31,-20.03,25.8794204,40.8207533,14.9413329,1.094305806,1.283170833,0.188865026,0
representative,2,31,87,0.73,0.27,93,2,0.26,0.74,46.12,25.66,-20.46,24.86172963,39.9157162,15.05398658,1.036130647,1.094305806,0.058175159,0
representative,3,54,36,0.3,0.7,72,3,0.26,0.74,41.4,20.94,-20.46,8.248636251,30.26576284,22.01712658,0.872871561,1.094305806,0.221434245,0
representative,4,84,47,0.3,0.7,5,97,0.65,0.35,58.1,37.2,-20.9,16.95553007,43.88120327,26.92567319,0.872871561,0.628970902,-0.243900659,0
representative,5,58,47,0.36,0.64,1,82,0.68,0.32,50.96,26.92,-24.04,5.28,37.78456828,32.50456828,0.583333333,0.805872657,0.222539324,0
representative,6,55,70,0.71,0.29,94,2,0.31,0.69,59.35,30.52,-28.83,6.806430783,42.54937837,35.74294759,0.92559525,0.821633625,-0.103961625,0
representative,7,58,22,0.48,0.52,63,2,0.41,0.59,39.28,27.01,-12.27,17.98559424,30.00183161,12.01623738,0.080064077,0.365977656,0.285913579,0
representative,8,71,37,0.36,0.64,14,84,0.69,0.31,49.24,35.7,-13.54,16.32,32.37452702,16.05452702,0.583333333,0.821633625,0.238300292,0
representative,9,37,32,0.28,0.72,63,1,0.26,0.74,33.4,17.12,-16.28,2.244994432,27.19532313,24.9503287,0.979957887,1.094305806,0.114347919,0
representative,10,61,48,0.3,0.7,13,81,0.69,0.31,51.9,34.08,-17.82,5.957348403,31.44954054,25.49219213,0.872871561,0.821633625,-0.051237936,0
representative,11,47,50,0.74,0.26,81,10,0.27,0.73,47.78,29.17,-18.61,1.315902732,31.52112149,30.20521876,1.094305806,1.036130647,-0.058175159,0
representative,12,76,64,0.49,0.51,95,5,0.55,0.45,69.88,54.5,-15.38,5.99879988,44.77443467,38.77563479,0.040008002,-0.223606798,-0.2636148,0
representative,13,93,28,0.41,0.59,5,97,0.57,0.43,54.65,44.56,-10.09,31.96916483,45.54696916,13.57780433,0.365977656,0.264920222,-0.101057433,0
